case_id,source_file,source_row,incident_date_claimed,observed_timestamp_utc,chain,txid,explorer_url,asset,amount_native,amount_usd_at_time,from_address,to_address,service_hint,service_confidence,role,evidence_file,status,current_owner_hypothesis,next_action,notes
william-crypto,/Users/alphab/Downloads/Stolen Crypto July 2021 - Summary.csv,5,2023-07-21,2023-07-21T14:00:59Z,ethereum,0x655a2a55bc724718bca78b7645347f448d1ca52b9f051ac3b6b8f2e36651d204,https://etherscan.io/tx/0x655a2a55bc724718bca78b7645347f448d1ca52b9f051ac3b6b8f2e36651d204,ETH,125.4472,237313.39,0xaadd5f9d0fa1411f612d75336eee5eb87092f1f0,0xD37BbE5744D730a1d98d8DC97c42F0Ca46aD7146,THORChain,high,victim-to-thorchain-router,/Users/alphab/.mdx/research/data/william-live-check-2026-05-25/midgard-actions-655A2A55BC724718BCA78B7645347F448D1CA52B9F051AC3B6B8F2E36651D204.json,confirmed-source-row,THORChain swap surface,preserve Midgard proof and source CSV row,Main CSV date has no timezone. Normalized as UTC-04:00 because duplicate FixedFloat source rows align that way. Source sent_to included depositWithExpiry and THORChain router address.
william-crypto,/Users/alphab/Downloads/Stolen Crypto July 2021 - Summary.csv,6,2023-07-22,2023-07-22T09:52:11Z,ethereum,0xb5e309a09f479a87f71b1258380d8b8e62c84163364b3b06762927c476c4d655,https://etherscan.io/tx/0xb5e309a09f479a87f71b1258380d8b8e62c84163364b3b06762927c476c4d655,ETH,0.82,1530.30,0x1c0b5b8d36587d0516839df7ebfb49ad8f3c543c,0x6a7E9ed15eA2C1C7787E68F2CA2dF68379ed437e,FixedFloat,medium,victim-to-fixedfloat-related-address,,confirmed-source-row,"FixedFloat side path per source CSV and dossier, not service confirmed",send preservation request to FixedFloat and include in law enforcement packet,Main CSV date has no timezone. Normalized as UTC-04:00 because duplicate FixedFloat source rows align that way. Txid appears in the dossier FixedFloat related list.
william-crypto,/Users/alphab/Downloads/Stolen Crypto July 2021 - Summary.csv,7,2023-07-21,2023-07-21T13:56:11Z,ethereum,0x662e469715056d9501da5184ec4a2a466b05b3fa656c73d0fb067598b88013c2,https://etherscan.io/tx/0x662e469715056d9501da5184ec4a2a466b05b3fa656c73d0fb067598b88013c2,ETH,623,1178554.02,0x1c0b5b8d36587d0516839df7ebfb49ad8f3c543c,0xeEC35fd50B5E7344b3E1A7F4384b3Cb9365e204A,THORChain funded wallet,medium,victim-to-thorchain-staging-address,/Users/alphab/.mdx/research/data/william-live-check-2026-05-25/midgard-actions-40A3D546F349F9CF8E907B6676E6187AD01F24C76AD9D0B9D2958E8C9E059E2C.json,confirmed-source-row,staging address later observed in THORChain swap 40A3D546...,preserve source row and Midgard 40A3D546 proof,Main CSV date has no timezone. Normalized as UTC-04:00 because duplicate FixedFloat source rows align that way. Dossier and monitoring plan tie this address to the second THORChain BTC output. Do not treat as standalone attribution.
william-crypto,/Users/alphab/Downloads/Stolen Crypto July 2021 - Summary.csv,8,2023-07-21,2023-07-21T13:47:23Z,ethereum,0x2ed79b067f3afa2e636ae82f8c0c6cbd59d504aa7f25f146a4d22ef2186fc157,https://etherscan.io/tx/0x2ed79b067f3afa2e636ae82f8c0c6cbd59d504aa7f25f146a4d22ef2186fc157,ETH,104.3,197308.48,0x1c0b5b8d36587d0516839df7ebfb49ad8f3c543c,0xeEC35fd50B5E7344b3E1A7F4384b3Cb9365e204A,THORChain funded wallet,medium,victim-to-thorchain-staging-address,/Users/alphab/.mdx/research/data/william-live-check-2026-05-25/midgard-actions-40A3D546F349F9CF8E907B6676E6187AD01F24C76AD9D0B9D2958E8C9E059E2C.json,confirmed-source-row,staging address later observed in THORChain swap 40A3D546...,preserve source row and Midgard 40A3D546 proof,Main CSV date has no timezone. Normalized as UTC-04:00 because duplicate FixedFloat source rows align that way. Dossier and monitoring plan tie this address to the second THORChain BTC output. Do not treat as standalone attribution.
william-crypto,/Users/alphab/Downloads/Stolen Crypto July 2021 - Summary.csv,9,2023-07-21,2023-07-21T14:06:23Z,ethereum,0x91a3d5976df4c7fb6d000a081855b4fc217d61d6e1b71f5c99205e7dc7c2f63f,https://etherscan.io/tx/0x91a3d5976df4c7fb6d000a081855b4fc217d61d6e1b71f5c99205e7dc7c2f63f,ETH,2.84,5372.54,0x055e6b081f175db1170350ba4f23e3a8e0895492,0x4ec986035b635d09474fc390acdf5c107dda4c70,FixedFloat,medium,victim-to-fixedfloat-related-address,,confirmed-source-row,"FixedFloat side path per source CSV and dossier, not service confirmed",send preservation request to FixedFloat and include in law enforcement packet,Main CSV date has no timezone. Normalized as UTC-04:00 because duplicate FixedFloat source rows align that way. Txid appears in the dossier FixedFloat related list.
william-crypto,/Users/alphab/Downloads/Stolen Crypto July 2021 - Summary.csv,10,2023-07-21,2023-07-21T14:12:35Z,ethereum,0xc2235fdf93d6ed97f17ea248d40fbc6c910cb502a63c75f0bb131bbb0fb465a8,https://etherscan.io/tx/0xc2235fdf93d6ed97f17ea248d40fbc6c910cb502a63c75f0bb131bbb0fb465a8,ETH,6.451,12203.61,0xd20a9ed00e37fdaef0a064bc32feb10845053f09,0xb7917ee3520c4aa56add5d55f6026edeebe99d02,possible FixedFloat staging,low,victim-to-common-staging-address,,confirmed-source-row,possible indirect FixedFloat staging based only on source narrative and repeated destination,validate before claiming service attribution,"Main CSV date has no timezone. Normalized as UTC-04:00 because duplicate FixedFloat source rows align that way. Repeated destination appears in several source rows, but no direct service label was in the parsed row."
william-crypto,/Users/alphab/Downloads/Stolen Crypto July 2021 - Summary.csv,11,2023-07-21,2023-07-21T14:09:11Z,ethereum,0x931ebd9671d532e81ef15211ce16e193615765747e4a906d9dabb278f792f2f3,https://etherscan.io/tx/0x931ebd9671d532e81ef15211ce16e193615765747e4a906d9dabb278f792f2f3,ETH,6.05,11445.03,0xa30e54cb3593c6afca653621c4d3ee2105f015aa,0xbdC4b2D85d9DCC42C3799b4569bd1D7D25D29C03,FixedFloat,medium,victim-to-fixedfloat-related-address,,confirmed-source-row,"FixedFloat side path per source CSV and dossier, not service confirmed",send preservation request to FixedFloat and include in law enforcement packet,Main CSV date has no timezone. Normalized as UTC-04:00 because duplicate FixedFloat source rows align that way. Txid appears in the dossier FixedFloat related list.
william-crypto,/Users/alphab/Downloads/Stolen Crypto July 2021 - Summary.csv,12,2023-07-21,2023-07-21T14:12:47Z,ethereum,0x0fa037ee4e0a99004dd98ca4827a9aaa9e45e56acd2b74334f09b16ad57050c3,https://etherscan.io/tx/0x0fa037ee4e0a99004dd98ca4827a9aaa9e45e56acd2b74334f09b16ad57050c3,ETH,1.872,3541.34,0xdFb05c98320D126Bcc74F6EB7960E99669dcd49a,0xB7917eE3520C4AA56ADd5d55f6026EdeEBE99d02,possible FixedFloat staging,low,victim-to-common-staging-address,,confirmed-source-row,possible indirect FixedFloat staging based only on source narrative and repeated destination,validate before claiming service attribution,"Main CSV date has no timezone. Normalized as UTC-04:00 because duplicate FixedFloat source rows align that way. Repeated destination appears in several source rows, but no direct service label was in the parsed row."
william-crypto,/Users/alphab/Downloads/Stolen Crypto July 2021 - Summary.csv,13,2023-07-21,2023-07-21T18:36:20Z,bsc,0x266ef6a62efc7fc3e6e8c9e4c0d31f844208429d9e3b58f5d998f8da58c230d1,https://bscscan.com/tx/0x266ef6a62efc7fc3e6e8c9e4c0d31f844208429d9e3b58f5d998f8da58c230d1,BNB,8.6,2096.68,0x9Dc08Da4cBF74F81CFfb54CECbD8fDf6554E1D34,0x08178b429CA29853fa33014F635D12bD7f706297,unknown,unknown,victim-to-unknown-address,,confirmed-source-row,unknown downstream holder or service,preserve source row and validate with explorer or paid analytics,Main CSV date has no timezone. Normalized as UTC-04:00 because duplicate FixedFloat source rows align that way.
william-crypto,/Users/alphab/Downloads/Stolen Crypto July 2021 - Summary.csv,14,2023-07-21,2023-07-21T14:13:35Z,ethereum,0xa2dc0cff0e555bf26d8044e39e92071e69587e62bfe4128f827b0eb9bdfc8681,https://etherscan.io/tx/0xa2dc0cff0e555bf26d8044e39e92071e69587e62bfe4128f827b0eb9bdfc8681,ETH,1.571,2971.92,0x9Dc08Da4cBF74F81CFfb54CECbD8fDf6554E1D34,0xB7917eE3520C4AA56ADd5d55f6026EdeEBE99d02,possible FixedFloat staging,low,victim-to-common-staging-address,,confirmed-source-row,possible indirect FixedFloat staging based only on source narrative and repeated destination,validate before claiming service attribution,"Main CSV date has no timezone. Normalized as UTC-04:00 because duplicate FixedFloat source rows align that way. Repeated destination appears in several source rows, but no direct service label was in the parsed row."
