tx_hash,chain_timestamp_utc,block,from,to,native_value_eth,receipt_status,receipt_status_hex,source_rows,spreadsheet_dates,spreadsheet_addresses,spreadsheet_amounts,spreadsheet_tokens,parse_notes,rpc_endpoint_tx,rpc_endpoint_receipt,rpc_endpoint_block
0x0fa037ee4e0a99004dd98ca4827a9aaa9e45e56acd2b74334f09b16ad57050c3,2023-07-21 14:12:47 UTC,17742033,0xdfb05c98320d126bcc74f6eb7960e99669dcd49a,0xb7917ee3520c4aa56add5d55f6026edeebe99d02,1.872,success,0x1,12,2023/07/21 10:12:47,0xdFb05c98320D126Bcc74F6EB7960E99669dcd49a,-1.872,ETH,summary table row,https://ethereum-rpc.publicnode.com,https://ethereum-rpc.publicnode.com,https://ethereum-rpc.publicnode.com
0x2ed79b067f3afa2e636ae82f8c0c6cbd59d504aa7f25f146a4d22ef2186fc157,2023-07-21 13:56:11 UTC,17741950,0x1c0b5b8d36587d0516839df7ebfb49ad8f3c543c,0xeec35fd50b5e7344b3e1a7f4384b3cb9365e204a,104.3,success,0x1,8,2023/07/21 9:47:23,0x1c0b5b8d36587d0516839df7ebfb49ad8f3c543c,-104.3,ETH,summary table row,https://ethereum-rpc.publicnode.com,https://ethereum-rpc.publicnode.com,https://ethereum-rpc.publicnode.com
0x3f58b9738767a04a8d4701052cbfa378f7cdf9d8a0cfac34b43b0d62f766a7e8,2023-07-21 14:11:59 UTC,17742029,0xfa5f6ed82ae1eac484b91ccde42fe7d64cb68d03,0xb7917ee3520c4aa56add5d55f6026edeebe99d02,5.02,success,0x1,17,2023/07/21 10:11:59,0xFA5F6eD82Ae1EAC484B91cCDE42fe7d64cb68D03,-5.02,ETH,summary table row,https://ethereum-rpc.publicnode.com,https://ethereum-rpc.publicnode.com,https://ethereum-rpc.publicnode.com
0x655a2a55bc724718bca78b7645347f448d1ca52b9f051ac3b6b8f2e36651d204,2023-07-21 14:00:59 UTC,17741974,0xaadd5f9d0fa1411f612d75336eee5eb87092f1f0,0xd37bbe5744d730a1d98d8dc97c42f0ca46ad7146,125.447151477364040918,success,0x1,5,2023/07/21 10:00:59,0xaadd5f9d0fa1411f612d75336eee5eb87092f1f0,-125.4472,ETH,summary table row,https://ethereum-rpc.publicnode.com,https://ethereum-rpc.publicnode.com,https://ethereum-rpc.publicnode.com
0x662e469715056d9501da5184ec4a2a466b05b3fa656c73d0fb067598b88013c2,2023-07-21 13:47:23 UTC,17741906,0x1c0b5b8d36587d0516839df7ebfb49ad8f3c543c,0xeec35fd50b5e7344b3e1a7f4384b3cb9365e204a,623,success,0x1,7,2023/07/21 9:56:11,0x1c0b5b8d36587d0516839df7ebfb49ad8f3c543c,-623,ETH,summary table row,https://ethereum-rpc.publicnode.com,https://ethereum-rpc.publicnode.com,https://ethereum-rpc.publicnode.com
0x72d855932534ca55ae820f5ed17de8ac729b1f05b093352b5bca19dcf868f26f,2023-07-21 18:55:47 UTC,17743441,0x2656269bb878ca0c4250a0df4c15a9cfca0c21ac,0x09066e7857d3a9a53c9142f8a7effcbc7989f1b5,3.89,success,0x1,15;44,"2023/07/21 14:55:47 | 21 Jul, 2023 18:55:47 UTC",0x2656269bb878ca0c4250a0df4c15a9cfca0c21ac | 0x2656269BB878cA0c4250A0DF4C15A9CFca0C21AC,-$3.89 | 3.89,ETH,"summary table row | lower copied detail row, shifted columns",https://ethereum-rpc.publicnode.com,https://ethereum-rpc.publicnode.com,https://ethereum-rpc.publicnode.com
0x85955c171d41591fb52b85f3e4135704f2afb4305ea9ceee1de1ba503703e7f1,2023-07-21 14:13:11 UTC,17742035,0xf40c09c782c74e932b81473ae68b078f31a358f6,0xb7917ee3520c4aa56add5d55f6026edeebe99d02,2.814,success,0x1,18,2023/07/21 10:13:11,0xf40c09C782C74e932b81473ae68B078F31a358f6,-2.814,ETH,summary table row,https://ethereum-rpc.publicnode.com,https://ethereum-rpc.publicnode.com,https://ethereum-rpc.publicnode.com
0x91a3d5976df4c7fb6d000a081855b4fc217d61d6e1b71f5c99205e7dc7c2f63f,2023-07-21 14:06:23 UTC,17742001,0x055e6b081f175db1170350ba4f23e3a8e0895492,0x4ec986035b635d09474fc390acdf5c107dda4c70,2.84,success,0x1,9;43,"2023/07/21 10:06:23 | 21 Jul, 2023 14:06 UTC",0x055e6b081f175db1170350ba4f23e3a8e0895492 | 0x055e6b081F175dB1170350Ba4f23E3a8E0895492,-2.84 | 2.84,ETH,"summary table row | lower copied detail row, shifted columns",https://ethereum-rpc.publicnode.com,https://ethereum-rpc.publicnode.com,https://ethereum-rpc.publicnode.com
0x931ebd9671d532e81ef15211ce16e193615765747e4a906d9dabb278f792f2f3,2023-07-21 14:09:11 UTC,17742015,0xa30e54cb3593c6afca653621c4d3ee2105f015aa,0xbdc4b2d85d9dcc42c3799b4569bd1d7d25d29c03,6.05,success,0x1,11;42,"2023/07/21 10:09:11 | 21 Jul, 2023 19:15:47 UTC",0xa30e54cb3593c6afca653621c4d3ee2105f015aa | 0xa30E54Cb3593c6afCA653621C4D3Ee2105F015aa,-6.05 | 3.88,ETH,"summary table row | lower copied detail row, shifted columns",https://ethereum-rpc.publicnode.com,https://ethereum-rpc.publicnode.com,https://ethereum-rpc.publicnode.com
0xa2dc0cff0e555bf26d8044e39e92071e69587e62bfe4128f827b0eb9bdfc8681,2023-07-21 14:13:35 UTC,17742037,0x9dc08da4cbf74f81cffb54cecbd8fdf6554e1d34,0xb7917ee3520c4aa56add5d55f6026edeebe99d02,1.571,success,0x1,14,2023/07/21 10:13:35,0x9Dc08Da4cBF74F81CFfb54CECbD8fDf6554E1D34,-1.571,ETH,summary table row,https://ethereum-rpc.publicnode.com,https://ethereum-rpc.publicnode.com,https://ethereum-rpc.publicnode.com
