visible_source_row,tx,date_displayed,display_as_utc_assuming_edtor_literal_utc,chain_timestamp_utc,date_diff_seconds_display_minus_chain,amount_displayed_abs,chain_value_native,amount_displayed_minus_chain,sent_to_or_visible_dest,chain_to,parse_note
5,0x655a2a55bc724718bca78b7645347f448d1ca52b9f051ac3b6b8f2e36651d204,2023/07/21 10:00:59,2023-07-21T14:00:59Z,2023-07-21T14:00:59Z,0,125.4472,125.447151477364040918,0.000048522635959082,depositWithExpiry | THORChain 0xD37BbE5744D730a1d98d8DC97c42F0Ca46aD7146,0xd37bbe5744d730a1d98d8dc97c42f0ca46ad7146,summary table row
6,0xb5e309a09f479a87f71b1258380d8b8e62c84163364b3b06762927c476c4d655,2023/07/22 5:52:11,2023-07-22T09:52:11Z,2023-07-22T09:52:11Z,0,0.82,0.82,0.00,0x6a7E9ed15eA2C1C7787E68F2CA2dF68379ed437e,0x6a7e9ed15ea2c1c7787e68f2ca2df68379ed437e,summary table row
7,0x662e469715056d9501da5184ec4a2a466b05b3fa656c73d0fb067598b88013c2,2023/07/21 9:56:11,2023-07-21T13:56:11Z,2023-07-21T13:47:23Z,528,623,623,0,0xeEC35fd50B5E7344b3E1A7F4384b3Cb9365e204A,0xeec35fd50b5e7344b3e1a7f4384b3cb9365e204a,summary table row
8,0x2ed79b067f3afa2e636ae82f8c0c6cbd59d504aa7f25f146a4d22ef2186fc157,2023/07/21 9:47:23,2023-07-21T13:47:23Z,2023-07-21T13:56:11Z,-528,104.3,104.3,0.0,0xeEC35fd50B5E7344b3E1A7F4384b3Cb9365e204A,0xeec35fd50b5e7344b3e1a7f4384b3cb9365e204a,summary table row
9,0x91a3d5976df4c7fb6d000a081855b4fc217d61d6e1b71f5c99205e7dc7c2f63f,2023/07/21 10:06:23,2023-07-21T14:06:23Z,2023-07-21T14:06:23Z,0,2.84,2.84,0.00,0x4ec986035b635d09474fc390acdf5c107dda4c70,0x4ec986035b635d09474fc390acdf5c107dda4c70,summary table row
10,0xc2235fdf93d6ed97f17ea248d40fbc6c910cb502a63c75f0bb131bbb0fb465a8,2023/07/21 10:12:35,2023-07-21T14:12:35Z,2023-07-21T14:12:35Z,0,6.451,6.451,0.000,0xb7917ee3520c4aa56add5d55f6026edeebe99d02,0xb7917ee3520c4aa56add5d55f6026edeebe99d02,summary table row
11,0x931ebd9671d532e81ef15211ce16e193615765747e4a906d9dabb278f792f2f3,2023/07/21 10:09:11,2023-07-21T14:09:11Z,2023-07-21T14:09:11Z,0,6.05,6.05,0.00,0xbdC4b2D85d9DCC42C3799b4569bd1D7D25D29C03,0xbdc4b2d85d9dcc42c3799b4569bd1d7d25d29c03,summary table row
12,0x0fa037ee4e0a99004dd98ca4827a9aaa9e45e56acd2b74334f09b16ad57050c3,2023/07/21 10:12:47,2023-07-21T14:12:47Z,2023-07-21T14:12:47Z,0,1.872,1.872,0.000,0xB7917eE3520C4AA56ADd5d55f6026EdeEBE99d02,0xb7917ee3520c4aa56add5d55f6026edeebe99d02,summary table row
13,0x266ef6a62efc7fc3e6e8c9e4c0d31f844208429d9e3b58f5d998f8da58c230d1,2023/07/21 14:36:20,2023-07-21T18:36:20Z,2023-07-21T18:36:20Z,0,8.6,8.6,0.0,0x08178b429CA29853fa33014F635D12bD7f706297,0x08178b429ca29853fa33014f635d12bd7f706297,summary table row
14,0xa2dc0cff0e555bf26d8044e39e92071e69587e62bfe4128f827b0eb9bdfc8681,2023/07/21 10:13:35,2023-07-21T14:13:35Z,2023-07-21T14:13:35Z,0,1.571,1.571,0.000,0xB7917eE3520C4AA56ADd5d55f6026EdeEBE99d02,0xb7917ee3520c4aa56add5d55f6026edeebe99d02,summary table row
