time_utc,txid,direction,spent_from_addr_sats,paid_to_addr_sats,vin_count,vout_count,fee_sats
2023-08-17T07:38:26Z,693e7d924bca0c5f8996ee6edf0821b7ce0ffa0d7ccd690842752396f81fbf7f,in,0,10003754,2,1,1246
2023-08-17T07:51:42Z,f634c560b982a252091fa40540ab31555fefee258c3c0bb0982ce2a58b91ef46,in,0,516559406,2,1,1246
2023-08-17T08:18:53Z,d60f931dfcc26c267b0e198131efba064bb1e6f4a70c1d8b03c7b468478b092d,in,0,536870142,1,1,770
2023-08-17T10:33:37Z,e9073ef4ea2ea53c25ff06f0fbaf043e2c90e2330e22b7ddc752f0bdeafe044f,in,0,1008392950,3,1,2460
2023-08-19T10:34:11Z,5e74975a9d29b9fd7b6ac19202e92e658aaf9f6912230582b0476e9f8be8cb44,in,0,1000225177,7,1,3626
2023-08-30T12:24:18Z,01fcc4351cc1c013626192515bf8d38b854113318f888b666a0764a780f1fedf,self/mixed,516559406,461557573,1,2,1833
2023-08-31T15:54:36Z,e96fff2f06d1950dbc4a5238e001e5605ef910c0c2950baf053f8d6c02d036cd,in,0,580002644,45,1,52734
2023-10-06T11:12:03Z,1962037495cfc6f39cd0c525b78fdcffddb98de34babdcf785b12208152e9bb2,out,3597052240,0,6,1,10350
2023-10-15T17:56:03Z,3200a29a5ef215e73c6d62390425879a86079c14fd77ede2ef173f9642bd0500,in,0,650000000,27,2,7684
2023-10-19T11:22:51Z,164f311dea5ac820de0b52677d0e3ce5673bad6e5a45df8d994513588505b187,out,650000000,0,1,1,1760
