time_utc,txid,direction,spent_from_addr_sats,paid_to_addr_sats,vin_count,vout_count,fee_sats
2023-07-21T14:11:01Z,ee7d104eab9f24778d41e9814c60281993275b609b56ad641d88f69d1a34d6e1,in,0,17886065,1,2,3102
2023-07-21T14:55:24Z,19b73c42a4186ff5d235c1b88f786e46bfc45661312730be7696812b46794073,in,0,38111890,1,2,3243
2023-07-21T15:02:31Z,1d732334c22a0903b46ab55e04da64b4e079f127f6ba5558b5dcc9af85a4776d,in,0,116193859,1,2,2538
2023-07-21T16:24:48Z,ca88b4956964e3d8bfdae2800b48f4cb15f8cc52a8554b4bfa301a400805e053,in,0,729622713,1,3,4136
2023-07-21T16:57:27Z,d40f9b8c207cfe8bdff9d054a7c2badf838de47cb1cb65e0edba63200a677a89,in,0,3137643194,1,3,7332
2023-07-21T18:47:07Z,642142870cb2b13772721ebef9e1ae0ef63c3c32b0e165a56efb94cc414817f0,in,0,6929552,1,39,67050
2023-07-21T19:36:15Z,cd58e1364f52349fc4dcf85dac99f23b26c7877152680e4609b9195ed3633129,in,0,24514855,1,2,1974
2023-07-21T20:36:18Z,98e5a5cc3a832518b42cdcfe8d73f036d10ec323fb93f2a08801f7e79ab4961c,out,17886065,0,157,153,110999
2023-07-22T22:36:24Z,447484229542bdf306892f60fdd328bdfe7c670e42013af4247302e6d3bf0be8,out,3137643194,0,244,280,215413
2023-07-22T23:24:26Z,aa885cb70b96cdf41aa4a4d275dfe8239bf168e6840efd8d6a1f1063b50937b7,out,154305749,0,193,199,155727
2023-07-23T00:34:04Z,b0d0afa49018bd9233298b7076a0857ee1599056400d8d459f117211d4da2372,out,729622713,0,250,285,224819
2023-07-23T00:57:46Z,185bb4b695f603cefcde666acc740f10559e7ef53ff719970c0b8b7bd6cf7ddd,out,24514855,0,257,294,223813
2023-07-23T00:57:46Z,4ef38eddb2e091b2d849a06dd5e8c6f8eded722bc29646d7abfc60f4326574ad,out,6929552,0,182,248,176301
