chain,tx_hash,rpc_endpoint,block_number_hex,block_number,timestamp_hex,chain_utc,confidence,transaction_json,receipt_json,block_json,error
ethereum,0x655a2a55bc724718bca78b7645347f448d1ca52b9f051ac3b6b8f2e36651d204,https://ethereum.publicnode.com,0x10eb896,17741974,0x64ba8f9b,2023-07-21T14:00:59Z,confirmed,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x655a2a55bc724718bca78b7645347f448d1ca52b9f051ac3b6b8f2e36651d204-transaction.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x655a2a55bc724718bca78b7645347f448d1ca52b9f051ac3b6b8f2e36651d204-receipt.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x655a2a55bc724718bca78b7645347f448d1ca52b9f051ac3b6b8f2e36651d204-block.json,
ethereum,0xb5e309a09f479a87f71b1258380d8b8e62c84163364b3b06762927c476c4d655,https://ethereum.publicnode.com,0x10ecfb6,17747894,0x64bba6cb,2023-07-22T09:52:11Z,confirmed,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0xb5e309a09f479a87f71b1258380d8b8e62c84163364b3b06762927c476c4d655-transaction.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0xb5e309a09f479a87f71b1258380d8b8e62c84163364b3b06762927c476c4d655-receipt.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0xb5e309a09f479a87f71b1258380d8b8e62c84163364b3b06762927c476c4d655-block.json,
ethereum,0x662e469715056d9501da5184ec4a2a466b05b3fa656c73d0fb067598b88013c2,https://ethereum.publicnode.com,0x10eb852,17741906,0x64ba8c6b,2023-07-21T13:47:23Z,confirmed,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x662e469715056d9501da5184ec4a2a466b05b3fa656c73d0fb067598b88013c2-transaction.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x662e469715056d9501da5184ec4a2a466b05b3fa656c73d0fb067598b88013c2-receipt.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x662e469715056d9501da5184ec4a2a466b05b3fa656c73d0fb067598b88013c2-block.json,
ethereum,0x2ed79b067f3afa2e636ae82f8c0c6cbd59d504aa7f25f146a4d22ef2186fc157,https://ethereum.publicnode.com,0x10eb87e,17741950,0x64ba8e7b,2023-07-21T13:56:11Z,confirmed,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x2ed79b067f3afa2e636ae82f8c0c6cbd59d504aa7f25f146a4d22ef2186fc157-transaction.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x2ed79b067f3afa2e636ae82f8c0c6cbd59d504aa7f25f146a4d22ef2186fc157-receipt.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x2ed79b067f3afa2e636ae82f8c0c6cbd59d504aa7f25f146a4d22ef2186fc157-block.json,
ethereum,0x91a3d5976df4c7fb6d000a081855b4fc217d61d6e1b71f5c99205e7dc7c2f63f,https://ethereum.publicnode.com,0x10eb8b1,17742001,0x64ba90df,2023-07-21T14:06:23Z,confirmed,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x91a3d5976df4c7fb6d000a081855b4fc217d61d6e1b71f5c99205e7dc7c2f63f-transaction.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x91a3d5976df4c7fb6d000a081855b4fc217d61d6e1b71f5c99205e7dc7c2f63f-receipt.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x91a3d5976df4c7fb6d000a081855b4fc217d61d6e1b71f5c99205e7dc7c2f63f-block.json,
ethereum,0xc2235fdf93d6ed97f17ea248d40fbc6c910cb502a63c75f0bb131bbb0fb465a8,https://ethereum.publicnode.com,0x10eb8d0,17742032,0x64ba9253,2023-07-21T14:12:35Z,confirmed,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0xc2235fdf93d6ed97f17ea248d40fbc6c910cb502a63c75f0bb131bbb0fb465a8-transaction.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0xc2235fdf93d6ed97f17ea248d40fbc6c910cb502a63c75f0bb131bbb0fb465a8-receipt.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0xc2235fdf93d6ed97f17ea248d40fbc6c910cb502a63c75f0bb131bbb0fb465a8-block.json,
ethereum,0x931ebd9671d532e81ef15211ce16e193615765747e4a906d9dabb278f792f2f3,https://ethereum.publicnode.com,0x10eb8bf,17742015,0x64ba9187,2023-07-21T14:09:11Z,confirmed,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x931ebd9671d532e81ef15211ce16e193615765747e4a906d9dabb278f792f2f3-transaction.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x931ebd9671d532e81ef15211ce16e193615765747e4a906d9dabb278f792f2f3-receipt.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x931ebd9671d532e81ef15211ce16e193615765747e4a906d9dabb278f792f2f3-block.json,
ethereum,0x0fa037ee4e0a99004dd98ca4827a9aaa9e45e56acd2b74334f09b16ad57050c3,https://ethereum.publicnode.com,0x10eb8d1,17742033,0x64ba925f,2023-07-21T14:12:47Z,confirmed,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x0fa037ee4e0a99004dd98ca4827a9aaa9e45e56acd2b74334f09b16ad57050c3-transaction.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x0fa037ee4e0a99004dd98ca4827a9aaa9e45e56acd2b74334f09b16ad57050c3-receipt.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x0fa037ee4e0a99004dd98ca4827a9aaa9e45e56acd2b74334f09b16ad57050c3-block.json,
bsc,0x266ef6a62efc7fc3e6e8c9e4c0d31f844208429d9e3b58f5d998f8da58c230d1,https://bsc-dataseed.binance.org,0x1cc43ea,30163946,0x64bad024,2023-07-21T18:36:20Z,confirmed,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/bsc-0x266ef6a62efc7fc3e6e8c9e4c0d31f844208429d9e3b58f5d998f8da58c230d1-transaction.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/bsc-0x266ef6a62efc7fc3e6e8c9e4c0d31f844208429d9e3b58f5d998f8da58c230d1-receipt.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/bsc-0x266ef6a62efc7fc3e6e8c9e4c0d31f844208429d9e3b58f5d998f8da58c230d1-block.json,
ethereum,0xa2dc0cff0e555bf26d8044e39e92071e69587e62bfe4128f827b0eb9bdfc8681,https://ethereum.publicnode.com,0x10eb8d5,17742037,0x64ba928f,2023-07-21T14:13:35Z,confirmed,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0xa2dc0cff0e555bf26d8044e39e92071e69587e62bfe4128f827b0eb9bdfc8681-transaction.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0xa2dc0cff0e555bf26d8044e39e92071e69587e62bfe4128f827b0eb9bdfc8681-receipt.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0xa2dc0cff0e555bf26d8044e39e92071e69587e62bfe4128f827b0eb9bdfc8681-block.json,
ethereum,0x72d855932534ca55ae820f5ed17de8ac729b1f05b093352b5bca19dcf868f26f,https://ethereum.publicnode.com,0x10ebe51,17743441,0x64bad4b3,2023-07-21T18:55:47Z,confirmed,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x72d855932534ca55ae820f5ed17de8ac729b1f05b093352b5bca19dcf868f26f-transaction.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x72d855932534ca55ae820f5ed17de8ac729b1f05b093352b5bca19dcf868f26f-receipt.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x72d855932534ca55ae820f5ed17de8ac729b1f05b093352b5bca19dcf868f26f-block.json,
ethereum,0xd5a730adbe95e809d765372997260dd7057e959399e9b41d415816218de3686d,https://ethereum.publicnode.com,0x10eb8d7,17742039,0x64ba92a7,2023-07-21T14:13:59Z,confirmed,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0xd5a730adbe95e809d765372997260dd7057e959399e9b41d415816218de3686d-transaction.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0xd5a730adbe95e809d765372997260dd7057e959399e9b41d415816218de3686d-receipt.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0xd5a730adbe95e809d765372997260dd7057e959399e9b41d415816218de3686d-block.json,
ethereum,0x3f58b9738767a04a8d4701052cbfa378f7cdf9d8a0cfac34b43b0d62f766a7e8,https://ethereum.publicnode.com,0x10eb8cd,17742029,0x64ba922f,2023-07-21T14:11:59Z,confirmed,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x3f58b9738767a04a8d4701052cbfa378f7cdf9d8a0cfac34b43b0d62f766a7e8-transaction.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x3f58b9738767a04a8d4701052cbfa378f7cdf9d8a0cfac34b43b0d62f766a7e8-receipt.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x3f58b9738767a04a8d4701052cbfa378f7cdf9d8a0cfac34b43b0d62f766a7e8-block.json,
ethereum,0x85955c171d41591fb52b85f3e4135704f2afb4305ea9ceee1de1ba503703e7f1,https://ethereum.publicnode.com,0x10eb8d3,17742035,0x64ba9277,2023-07-21T14:13:11Z,confirmed,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x85955c171d41591fb52b85f3e4135704f2afb4305ea9ceee1de1ba503703e7f1-transaction.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x85955c171d41591fb52b85f3e4135704f2afb4305ea9ceee1de1ba503703e7f1-receipt.json,/Users/alphab/.mdx/research/william-thorough-recheck-2026-05-25/data/spreadsheet-baseline/rpc/ethereum-0x85955c171d41591fb52b85f3e4135704f2afb4305ea9ceee1de1ba503703e7f1-block.json,
